time_s,displacement_pixels,displacement_cm,match_score
4.070402093137530208e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.630893588066101074e-01
4.087084068929077496e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.636917829513549805e-01
4.103766044720624784e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.635977268218994141e-01
4.120448020512172072e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.632864117622375488e-01
4.137129996303719359e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.628476023674011230e-01
4.153811972095266647e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.631785869598388672e-01
4.170493947886813935e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.643929719924926758e-01
4.187175923678361222e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.651832699775695801e-01
4.203857899469908510e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.636577486991882324e-01
4.220539875261455798e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.643593549728393555e-01
4.237221851053003085e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.636308073997497559e-01
4.253903826844550373e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.635163068771362305e-01
4.270585802636097661e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.646338343620300293e-01
4.287267778427644949e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.645558118820190430e-01
4.303949754219192236e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.648447751998901367e-01
4.320631730010739524e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.643632292747497559e-01
4.337313705802286812e+00,-5.600000000000000000e+01,-2.240000000000000213e+00,7.627058029174804688e-01
4.353995681593834099e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.647127509117126465e-01
4.370677657385381387e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.668887376785278320e-01
4.387359633176928675e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.675861716270446777e-01
4.404041608968475963e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.703367471694946289e-01
4.420723584760023250e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.714930176734924316e-01
4.437405560551570538e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.706097960472106934e-01
4.454087536343117826e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.727378606796264648e-01
4.470769512134665113e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.745817899703979492e-01
4.487451487926212401e+00,-5.700000000000000000e+01,-2.279999999999999805e+00,7.760553359985351562e-01
4.504133463717759689e+00,-5.700000000000000000e+01,-2.279999999999999805e+00,7.750626206398010254e-01
4.520815439509306977e+00,-5.700000000000000000e+01,-2.279999999999999805e+00,7.749692797660827637e-01
4.537497415300853376e+00,-5.700000000000000000e+01,-2.279999999999999805e+00,7.750083208084106445e-01
4.554179391092400664e+00,-5.700000000000000000e+01,-2.279999999999999805e+00,7.752223610877990723e-01
4.570861366883947952e+00,-5.700000000000000000e+01,-2.279999999999999805e+00,7.741323113441467285e-01
4.587543342675495239e+00,-5.700000000000000000e+01,-2.279999999999999805e+00,7.736085653305053711e-01
4.604225318467042527e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.731077671051025391e-01
4.620907294258589815e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.722046971321105957e-01
4.637589270050137102e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.729913592338562012e-01
4.654271245841684390e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.734193801879882812e-01
4.670953221633231678e+00,-5.800000000000000000e+01,-2.319999999999999840e+00,7.731304168701171875e-01
